iter	MultiClass
0	1.074045358
1	1.052883526
2	1.034125466
3	1.017486404
4	1.002062332
5	0.9888243715
6	0.976459111
7	0.9656229347
8	0.9556467924
9	0.9469318477
10	0.9387999543
11	0.9315192023
12	0.9249172318
13	0.9189130191
14	0.9134146966
15	0.9083847832
16	0.9038166858
17	0.8997032569
18	0.8959194417
19	0.8923835712
20	0.8891809193
21	0.8862147574
22	0.8834596972
23	0.8808948675
24	0.8786122915
25	0.8764151727
26	0.8744112462
27	0.8725797511
28	0.8708491499
29	0.8693153674
30	0.8677797
31	0.8663870473
32	0.8652419267
33	0.8639606008
34	0.862903818
35	0.8618373287
36	0.8608819755
37	0.8599217746
38	0.8588829452
39	0.8580573864
40	0.8573806863
41	0.8565792784
42	0.8558522961
43	0.8551770303
44	0.8544130641
45	0.8541098545
46	0.8533905228
47	0.8528285436
48	0.8522074736
49	0.8517175284
50	0.8512997254
51	0.8507237154
52	0.8501890916
53	0.8497349131
54	0.8492309206
55	0.8491082814
56	0.8484800346
57	0.8480906052
58	0.8476957259
59	0.8471654629
60	0.8467136324
61	0.8462557935
62	0.8458520792
63	0.8454406024
64	0.8449425019
65	0.8445139107
66	0.8439336516
67	0.843499017
68	0.8429731419
69	0.8424319882
70	0.8419957197
71	0.8416979621
72	0.8414254707
73	0.8408567876
74	0.8404950257
75	0.8399281942
76	0.8395277535
77	0.8392116964
78	0.8388414163
79	0.8382752291
80	0.8378873705
81	0.8373647907
82	0.837074375
83	0.8367237485
84	0.8363410805
85	0.8359014612
86	0.8356711426
87	0.8352396078
88	0.8346456619
89	0.8342432259
90	0.8338892636
91	0.8334519323
92	0.8328616883
93	0.832485004
94	0.8322226
95	0.832001305
96	0.8316740318
97	0.8312312949
98	0.8309111725
99	0.8306209747
100	0.8302761577
101	0.8296924432
102	0.8293136711
103	0.8290308869
104	0.8287821334
105	0.8284530034
106	0.828185427
107	0.8277033579
108	0.8274162421
109	0.826845941
110	0.8265274541
111	0.8263024614
112	0.8258365179
113	0.8255397641
114	0.8251940556
115	0.8247199606
116	0.8243904631
117	0.8239980362
118	0.8235424906
119	0.8232237696
120	0.8228678602
121	0.8225439914
122	0.8221728504
123	0.8217952768
124	0.8214595445
125	0.8210949032
126	0.8206834105
127	0.8203318038
128	0.8200920252
129	0.819754627
130	0.8193444942
131	0.8189667637
132	0.8185800506
133	0.8183138622
134	0.817857288
135	0.8174528872
136	0.8171318172
137	0.8167278552
138	0.8164725787
139	0.8162694314
140	0.8158217916
141	0.8155096555
142	0.8152677665
143	0.8149064835
144	0.8144345959
145	0.8141154372
146	0.8137786913
147	0.8134504776
148	0.8131117359
149	0.8127857437
150	0.8123978131
151	0.8121578187
152	0.8118893191
153	0.8114851101
154	0.8110423123
155	0.8106847718
156	0.8101965132
157	0.8098567752
158	0.8095816003
159	0.8093808118
160	0.8090996141
161	0.8086932787
162	0.8083908947
163	0.8079824507
164	0.8076423988
165	0.8074476407
166	0.80703342
167	0.8067731137
168	0.8065550975
169	0.8061480052
170	0.8057034669
171	0.8052686345
172	0.8049020648
173	0.8044998521
174	0.8040734896
175	0.8037589769
176	0.8033554922
177	0.8031880848
178	0.8028755144
179	0.8025904114
180	0.80220134
181	0.8018263924
182	0.8015684124
183	0.8012398844
184	0.8009566549
185	0.8006590222
186	0.8003221368
187	0.8000766727
188	0.7995688671
189	0.7991129428
190	0.7988319036
191	0.7986382666
192	0.798191416
193	0.7978461868
194	0.7974936399
195	0.7973193236
196	0.7970118236
197	0.7966910268
198	0.7964729064
199	0.7961348691
200	0.7958753097
201	0.7956062607
202	0.7953422783
203	0.7950847669
204	0.7945335541
205	0.7942267747
206	0.7938964294
207	0.793551635
208	0.7932270154
209	0.7927947126
210	0.7925162471
211	0.7922341482
212	0.7918468232
213	0.7914985326
214	0.7912343103
215	0.7907479253
216	0.7904199202
217	0.790094198
218	0.7899058919
219	0.7895418908
220	0.7892434364
221	0.7889735439
222	0.7886813496
223	0.7882929109
224	0.78808015
225	0.787899384
226	0.7876714517
227	0.7874250153
228	0.7870712588
229	0.7866945558
230	0.7864179365
231	0.786206037
232	0.7858488061
233	0.7854645368
234	0.7853060483
235	0.7851470594
236	0.784978289
237	0.784746276
238	0.7845346124
239	0.7843558858
240	0.7840367912
241	0.7836262493
242	0.7833738196
243	0.7830978375
244	0.7828515433
245	0.7825368029
246	0.7822973548
247	0.7819926414
248	0.7817141695
249	0.7813848233
250	0.7810101238
251	0.7805711372
252	0.7801144493
253	0.7798871392
254	0.7795302603
255	0.7791616709
256	0.77885267
257	0.7784337084
258	0.7780982873
259	0.7779263971
260	0.777619244
261	0.7773832922
262	0.7770712169
263	0.7767794215
264	0.7764167674
265	0.7762426841
266	0.7760534671
267	0.7757679188
268	0.7755336708
269	0.7751983458
270	0.7749143308
271	0.7746158326
272	0.7743691319
273	0.7740980015
274	0.7737829924
275	0.7735840014
276	0.773239908
277	0.773020376
278	0.7727550271
279	0.7724039812
280	0.7721877681
281	0.7717426864
282	0.7714964385
283	0.7713279416
284	0.7710972981
285	0.7707406559
286	0.7705148327
287	0.7701825443
288	0.7699793524
289	0.7697039399
290	0.7694227109
291	0.7691394004
292	0.7688490929
293	0.7686400149
294	0.7682737125
295	0.767926506
296	0.7677285258
297	0.7673568014
298	0.7671745466
299	0.7669454329
