iter	Passed	Remaining
0	15	4769
1	43	6440
2	61	6100
3	79	5882
4	85	5021
5	102	5032
6	112	4705
7	130	4763
8	144	4668
9	162	4706
10	174	4580
11	196	4719
12	219	4853
13	245	5006
14	263	5014
15	288	5116
16	308	5137
17	319	5006
18	346	5126
19	369	5168
20	389	5173
21	408	5160
22	428	5155
23	452	5200
24	472	5200
25	492	5190
26	514	5202
27	536	5210
28	556	5200
29	575	5176
30	594	5154
31	617	5171
32	639	5172
33	658	5154
34	680	5154
35	703	5161
36	723	5142
37	747	5154
38	770	5154
39	789	5129
40	807	5103
41	828	5086
42	852	5096
43	882	5136
44	909	5151
45	919	5077
46	948	5107
47	974	5118
48	998	5114
49	1021	5108
50	1048	5121
51	1066	5088
52	1085	5058
53	1103	5028
54	1129	5032
55	1138	4961
56	1164	4962
57	1191	4971
58	1217	4972
59	1246	4987
60	1266	4960
61	1287	4942
62	1303	4904
63	1321	4873
64	1339	4842
65	1358	4815
66	1379	4796
67	1397	4769
68	1424	4768
69	1446	4753
70	1467	4734
71	1489	4717
72	1511	4700
73	1532	4681
74	1554	4663
75	1575	4643
76	1595	4621
77	1618	4607
78	1644	4601
79	1665	4580
80	1688	4564
81	1708	4541
82	1727	4517
83	1749	4497
84	1771	4480
85	1791	4458
86	1812	4436
87	1843	4441
88	1870	4434
89	1888	4406
90	1907	4381
91	1931	4367
92	1948	4337
93	1966	4309
94	1993	4302
95	2022	4298
96	2041	4271
97	2068	4262
98	2094	4251
99	2114	4229
100	2139	4216
101	2176	4224
102	2210	4227
103	2237	4216
104	2270	4215
105	2293	4197
106	2325	4194
107	2356	4189
108	2381	4173
109	2422	4183
110	2467	4201
111	2509	4212
112	2547	4215
113	2593	4230
114	2632	4235
115	2660	4219
116	2683	4197
117	2708	4176
118	2732	4155
119	2768	4152
120	2797	4138
121	2824	4121
122	2853	4106
123	2875	4081
124	2907	4070
125	2934	4052
126	2969	4044
127	3000	4031
128	3036	4025
129	3064	4007
130	3090	3987
131	3123	3975
132	3155	3962
133	3191	3953
134	3224	3940
135	3258	3929
136	3294	3919
137	3329	3908
138	3366	3898
139	3399	3884
140	3440	3879
141	3468	3859
142	3499	3842
143	3524	3817
144	3547	3791
145	3587	3784
146	3626	3774
147	3661	3760
148	3693	3742
149	3722	3722
150	3753	3703
151	3792	3692
152	3826	3676
153	3852	3651
154	3888	3637
155	3925	3623
156	3959	3606
157	3997	3592
158	4030	3573
159	4056	3549
160	4091	3532
161	4120	3510
162	4151	3489
163	4187	3472
164	4224	3456
165	4261	3439
166	4295	3420
167	4325	3398
168	4355	3376
169	4388	3356
170	4420	3335
171	4445	3308
172	4478	3287
173	4504	3262
174	4525	3232
175	4553	3207
176	4577	3180
177	4604	3156
178	4625	3126
179	4648	3099
180	4673	3072
181	4694	3043
182	4721	3018
183	4744	2991
184	4773	2967
185	4797	2940
186	4822	2914
187	4845	2886
188	4871	2861
189	4901	2837
190	4925	2810
191	4952	2785
192	4974	2757
193	5002	2733
194	5028	2707
195	5053	2681
196	5081	2656
197	5109	2632
198	5137	2607
199	5165	2582
200	5199	2560
201	5225	2535
202	5252	2509
203	5292	2490
204	5321	2465
205	5352	2442
206	5382	2418
207	5412	2394
208	5440	2369
209	5468	2343
210	5498	2319
211	5533	2297
212	5564	2272
213	5594	2248
214	5621	2222
215	5649	2196
216	5676	2171
217	5699	2143
218	5727	2118
219	5748	2090
220	5776	2064
221	5801	2038
222	5830	2013
223	5857	1987
224	5883	1961
225	5915	1937
226	5942	1911
227	5972	1886
228	6010	1863
229	6033	1836
230	6054	1808
231	6076	1781
232	6098	1753
233	6123	1727
234	6142	1699
235	6169	1672
236	6203	1648
237	6231	1623
238	6261	1598
239	6288	1572
240	6317	1546
241	6340	1519
242	6366	1493
243	6394	1467
244	6419	1441
245	6450	1415
246	6479	1390
247	6506	1364
248	6536	1338
249	6567	1313
250	6602	1288
251	6632	1263
252	6657	1236
253	6688	1211
254	6719	1185
255	6743	1159
256	6777	1133
257	6805	1107
258	6836	1082
259	6864	1056
260	6899	1030
261	6929	1005
262	6956	978
263	6985	952
264	7015	926
265	7042	900
266	7068	873
267	7095	847
268	7124	821
269	7146	794
270	7176	768
271	7199	741
272	7226	714
273	7251	688
274	7283	662
275	7311	635
276	7344	609
277	7375	583
278	7405	557
279	7430	530
280	7458	504
281	7483	477
282	7513	451
283	7543	424
284	7574	398
285	7608	372
286	7635	345
287	7668	319
288	7696	292
289	7728	266
290	7762	240
291	7793	213
292	7823	186
293	7852	160
294	7880	133
295	7906	106
296	7935	80
297	7961	53
298	7987	26
299	8012	0
